station_complex_id,station_complex_name,borough,avg_annual_ridership,log_avg_ridership,is_ibx,subway_trips_per_hour_am_peak,subway_lines_serving_station,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,log_pct_walked_access_network,log_bus_routes_access_network,min_line_anchor_travel_time_min,median_line_anchor_travel_time_min,n_valid_anchor_lines,travel_time_source,log_min_line_anchor_travel_time,travel_time_missing_flag,poverty_latest,poverty_slope,pop_latest,pop_slope,poverty_latest_orig,poverty_slope_orig,nearest_station_complex_id,poverty_source,poverty_imputed_flag,poverty_missing_flag,population_missing_flag,poverty_imputed_nearest_flag,poverty_imputed_line_flag
371,Hunts Point Av (6),Bronx,6638.904209,8.800852816,False,54.33,0,0.999999000001,8.40200678160712,10.762975101585972,2.334338821,2.079441542,2.3736515758621053,2.3978952727983707,28.5,29.0,2.0,observed_gtfs,3.3843902633457743,0,36.32551531,0.284166676,4240.680798,-18.76728491,,,,line_fill,1,0,0,0,1
372,Longwood Av (6),Bronx,2259.832305,7.723488301,False,45.33,0,0.999999000001,8.783549477153265,10.777601205511097,2.186467943,2.302585093,2.4530371458971505,2.639057329615259,28.0,28.0,1.0,observed_gtfs,3.367295829986474,0,46.1,-0.51958042,3922.118078,-71.2368438,,,375,nearest_gtfs,1,0,0,1,0
373,E 149 St (6),Bronx,3062.890239,8.027440708,False,46.0,0,0.999999000001,8.075271546297458,10.62478477651242,2.113467364,1.791759469,2.3585460851162265,2.772588722239781,26.5,26.5,1.0,observed_gtfs,3.3141860046725258,0,46.1,-0.51958042,6082.538354,115.2531661,,,375,nearest_gtfs,1,0,0,1,0
374,E 143 St-St Mary's St (6),Bronx,930.4300919,6.836721138,False,46.0,0,0.999999000001,7.944137491114112,10.47522952026939,2.154512099,0.0,2.222654130135158,2.5649493574615367,25.5,25.5,1.0,observed_gtfs,3.277144732992177,0,46.1,-0.51958042,2140.681773,58.48908024,,,375,nearest_gtfs,1,0,0,1,0
375,Cypress Av (6),Bronx,1833.398283,7.514471795,False,46.33,0,0.999999000001,8.126813720726114,10.363945768938333,1.857940905,0.693147181,2.358047279164001,2.4849066497880004,24.0,24.0,1.0,observed_gtfs,3.218875824868201,0,46.1,-0.51958042,4839.611616,-21.69051187,46.1,-0.51958042,,observed,0,0,0,0,0
376,Brook Av (6),Bronx,3443.199262,8.144446722,False,46.67,0,0.999999000001,8.41847721847708,10.840227761277692,2.113769537,2.197224577,2.456694327676752,2.5649493574615367,23.0,23.0,1.0,observed_gtfs,3.1780538303479458,0,46.1,-0.51958042,7101.817796,62.02788588,46.1,-0.51958042,,observed,0,0,0,0,0
377,3 Av-138 St (6),Bronx,5542.413582,8.62036576,False,57.67,0,0.999999000001,8.662331957082475,10.677085049993376,2.098356303,2.079441542,2.5226784427696463,2.772588722239781,21.25,21.38,2.0,observed_gtfs,3.1023420086122493,0,36.7,0.312237762,5343.245746,33.54440725,,,391,nearest_gtfs,1,0,0,1,0
378,Woodlawn (4),Bronx,4368.079584,8.382307644,False,41.33,0,0.6666662222225186,8.530109416682784,9.894900791598806,0.693600634,1.098612289,2.525584687546978,2.4849066497880004,44.25,44.25,1.0,observed_gtfs,3.8122026701459353,0,36.7,0.312237762,2401.232349,121.673772,,,,line_fill,1,0,0,0,1
379,Mosholu Pkwy (4),Bronx,5111.977746,8.539537243,False,41.33,0,0.6666662222225186,8.698180525197056,10.730203625017488,2.092947217,2.397895273,2.250969592809045,2.833213344056216,42.0,42.0,1.0,observed_gtfs,3.7612001156935615,0,36.7,0.312237762,3158.579004,8.857480182,,,,line_fill,1,0,0,0,1
380,Bedford Park Blvd-Lehman College (4),Bronx,3683.697992,8.211943845,False,41.67,0,0.7999993600005121,7.416378479192928,11.060180052280762,1.774461782,2.397895273,2.069319199193515,2.995732273553991,39.75,39.75,1.0,observed_gtfs,3.707455839686872,0,36.32551531,0.284166676,3161.788236,106.2519055,,,296,nearest_gtfs,1,0,0,1,0
