station_complex_id,station_complex_name,avg_annual_ridership,log_avg_ridership,is_ibx,subway_trips_per_hour_am_peak,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,log_pct_walked_access_network,log_bus_routes_access_network,min_line_anchor_travel_time_min,median_line_anchor_travel_time_min,n_valid_anchor_lines,log_min_line_anchor_travel_time,travel_time_missing_flag,poverty_latest,poverty_slope,pop_latest,pop_slope,poverty_imputed_flag,poverty_missing_flag,population_missing_flag,poverty_imputed_nearest_flag,poverty_imputed_line_flag,borough_Brooklyn,borough_Manhattan,borough_Queens,borough_Staten Island,poverty_source_nearest_gtfs,poverty_source_observed,travel_time_source_nearest_station_complex_id,travel_time_source_observed_gtfs
374,E 143 St-St Mary's St (6),930.4300919,6.836721138,0,46,0.999999,7.944137491,10.47522952,2.154512099,0,2.22265413,2.564949357,25.5,25.5,1,3.277144733,0,46.1,-0.51958042,2140.681773,58.48908024,1,0,0,1,0,0,0,0,0,1,0,0,1
375,Cypress Av (6),1833.398283,7.514471795,0,46.33,0.999999,8.126813721,10.36394577,1.857940905,0.693147181,2.358047279,2.48490665,24,24,1,3.218875825,0,46.1,-0.51958042,4839.611616,-21.69051187,0,0,0,0,0,0,0,0,0,0,1,0,1
376,Brook Av (6),3443.199262,8.144446722,0,46.67,0.999999,8.418477218,10.84022776,2.113769537,2.197224577,2.456694328,2.564949357,23,23,1,3.17805383,0,46.1,-0.51958042,7101.817796,62.02788588,0,0,0,0,0,0,0,0,0,0,1,0,1
377,3 Av-138 St (6),5542.413582,8.62036576,0,57.67,0.999999,8.662331957,10.67708505,2.098356303,2.079441542,2.522678443,2.772588722,21.25,21.38,2,3.102342009,0,36.7,0.312237762,5343.245746,33.54440725,1,0,0,1,0,0,0,0,0,1,0,0,1
378,Woodlawn (4),4368.079584,8.382307644,0,41.33,0.666666222,8.530109417,9.894900792,0.693600634,1.098612289,2.525584688,2.48490665,44.25,44.25,1,3.81220267,0,36.7,0.312237762,2401.232349,121.673772,1,0,0,0,1,0,0,0,0,0,0,0,1
379,Mosholu Pkwy (4),5111.977746,8.539537243,0,41.33,0.666666222,8.698180525,10.73020363,2.092947217,2.397895273,2.250969593,2.833213344,42,42,1,3.761200116,0,36.7,0.312237762,3158.579004,8.857480182,1,0,0,0,1,0,0,0,0,0,0,0,1
380,Bedford Park Blvd-Lehman College (4),3683.697992,8.211943845,0,41.67,0.79999936,7.416378479,11.06018005,1.774461782,2.397895273,2.069319199,2.995732274,39.75,39.75,1,3.70745584,0,36.32551531,0.284166676,3161.788236,106.2519055,1,0,0,1,0,0,0,0,0,1,0,0,1
381,Kingsbridge Rd (4),5749.886551,8.657109305,0,42.33,0.666666222,8.329899293,11.46679775,1.963344809,2.302585093,2.130627904,3.044522438,37.75,37.75,1,3.657130756,0,36.32551531,0.284166676,4519.505445,-138.2777243,1,0,0,1,0,0,0,0,0,1,0,0,1
382,Fordham Rd (4),6240.195573,8.738927041,0,42.67,0.666666222,8.436850439,11.52086387,1.990690094,2.079441542,2.380812678,3.135494216,36.25,36.25,1,3.617651945,0,8.047234247,-1.332213627,9316.401497,168.9114772,1,0,0,1,0,0,0,0,0,1,0,0,1
383,183 St (4),3475.493832,8.153779545,0,43,0.666666222,8.02289687,11.54838913,1.981342092,1.791759469,2.220207035,2.995732274,34.75,34.75,1,3.576550269,0,32.5985867,-0.60874452,8877.445857,-58.98369737,1,0,0,1,0,0,0,0,0,1,0,0,1
384,Burnside Av (4),6012.663945,8.701789483,0,43,0.666666222,8.024207486,11.53106986,1.99861164,2.079441542,2.137025198,2.772588722,33.25,33.25,1,3.533686565,0,32.5985867,-0.60874452,7188.530384,-12.67158624,1,0,0,1,0,0,0,0,0,1,0,0,1
385,176 St (4),3295.020864,8.100471221,0,43.67,0.666666222,7.877017896,11.48615019,2.084467121,1.609437912,2.184085401,2.833213344,31.25,31.25,1,3.473518043,0,15.77668782,-0.772409006,6976.015589,-72.67601406,1,0,0,1,0,0,0,0,0,1,0,0,1
386,Mt Eden Av (4),3081.630201,8.033538473,0,43,0.666666222,7.921535632,11.48369231,2.10712115,0.693147181,2.255358253,2.833213344,30.25,30.25,1,3.442019376,0,18.53900886,-1.136179984,5754.092414,14.9709077,1,0,0,1,0,0,0,0,0,1,0,0,1
387,170 St (4),4496.430576,8.41126153,0,43,0.666666222,7.905441649,11.51940443,2.065993428,1.609437912,2.217304106,2.890371758,28.75,28.75,1,3.392829132,0,18.53900886,-1.136179984,5855.820432,-83.79934833,1,0,0,1,0,0,0,0,0,1,0,0,1
388,167 St (4),5606.061139,8.631782,0,43.33,0.666666222,8.285261134,11.5275776,2.047639134,2.079441542,2.283412816,2.833213344,26.75,26.75,1,3.32323584,0,30.36343184,-0.798639018,6320.73834,-18.39330532,1,0,0,1,0,0,0,0,0,1,0,0,1
391,"138 St-Grand Concourse (4,5)",2618.438921,7.870715422,0,70.67,0.999999,8.622093601,10.64380454,2.030236576,2.708050201,2.459182587,2.944438979,16.5,16.5,2,2.862200881,0,36.7,0.312237762,1681.560354,57.91650391,0,0,0,0,0,0,0,0,0,0,1,0,1
417,"Nereid Av (2,5)",1891.40566,7.545604135,0,41.33,0.666666222,8.038512021,10.35367105,1.809267699,0.693147181,1.704354383,2.079441542,55,55.75,2,4.025351691,0,36.7,0.312237762,2872.547608,64.85428721,1,0,0,0,1,0,0,0,0,0,0,0,1
421,"Gun Hill Rd (2,5)",4025.566219,8.300669237,0,41.67,0.666666222,8.370547611,10.65925736,1.884976077,1.098612289,1.83305768,2.772588722,47.75,49.12,2,3.886705197,0,36.7,0.312237762,4425.063325,-38.26092507,1,0,0,0,1,0,0,0,0,0,0,0,1
422,"Burke Av (2,5)",1720.819908,7.451137097,0,41.33,0.666666222,7.622174595,10.70864559,1.972000692,0.693147181,1.754356945,2.397895273,46.25,47.62,2,3.855452654,0,36.7,0.312237762,4631.601066,338.9217398,1,0,0,0,1,0,0,0,0,0,0,0,1
424,"Pelham Pkwy (2,5)",5333.610728,8.581971195,0,42.67,0.666666222,8.204945165,10.72143752,1.552487721,1.945910149,2.042427328,2.890371758,42.25,43.88,2,3.766997233,0,36.7,0.312237762,5192.048093,-108.5449102,1,0,0,0,1,0,0,0,0,0,0,0,1
425,"Bronx Park East (2,5)",1506.366534,7.31811939,0,42.67,0.666666222,8.210668031,10.37757658,1.908385811,1.386294361,1.888667144,2.772588722,39,41,2,3.688879454,0,36.7,0.312237762,2018.62586,3.514872968,1,0,0,0,1,0,0,0,0,0,0,0,1
426,"E 180 St (2,5)",5687.194364,8.646148142,0,79.33,0.999999,8.096208272,10.50174696,2.129864101,1.386294361,1.930796196,2.772588722,35.5,38,2,3.597312261,0,36.7,0.312237762,1335.430215,-9.022582292,1,0,0,0,1,0,0,0,0,0,0,0,1
427,"West Farms Sq-E Tremont Av (2,5)",3228.187954,8.079985977,0,65,0.999999,8.307705967,10.6990108,1.995208127,0.693147181,1.961343049,2.944438979,38.5,38.5,1,3.676300672,0,36.7,0.312237762,3926.717724,29.84687851,1,0,0,0,1,0,0,0,0,0,0,0,1
428,"174 St (2,5)",3595.812651,8.187803358,0,65,0.999999,8.3423635,10.6047517,1.859549481,0,2.032305121,2.772588722,36.5,36.5,1,3.624340933,0,36.7,0.312237762,4718.389966,22.58400956,1,0,0,0,1,0,0,0,0,0,0,0,1
429,"Freeman St (2,5)",2699.229136,7.901091914,0,65,0.999999,8.48714627,10.88183247,1.999037251,0.693147181,2.329559856,2.708050201,33.5,33.5,1,3.540959324,0,36.7,0.312237762,5397.202676,65.222048,1,0,0,0,1,0,0,0,0,0,0,0,1
430,"Simpson St (2,5)",4497.658261,8.411534467,0,65.33,0.999999,8.143517406,10.93663645,2.173529145,1.791759469,2.223079912,2.564949357,31.5,31.5,1,3.481240089,0,36.7,0.312237762,4596.127017,66.31425123,1,0,0,0,1,0,0,0,0,0,0,0,1
