station_complex_id,pop_latest,pop_slope,pop_growth_ratio,pop_first_year,pop_last_year,n_years
122,4255.431638,63.69565502,1.235081196,2013,2024,12
123,3692.758296,117.8994001,1.477548033,2013,2024,12
124,3855.551844,447.1461629,19.0326374,2013,2024,12
125,1018.580423,-29.82032987,0.908895646,2013,2024,12
126,2549.535232,-22.90401841,0.865858086,2013,2024,12
127,4594.045321,-184.8531426,0.749939024,2013,2024,12
129,2352.129137,-21.74595916,0.934713142,2013,2024,12
130,2544.350479,29.8319276,1.111841909,2013,2024,12
131,1738.959381,-6.617807744,1.056652198,2013,2024,12
133,2236.371787,30.03111985,1.472555297,2013,2024,12
134,2473.268634,6.534147271,1.193183299,2013,2024,12
135,2954.026225,17.88261003,1.224264862,2013,2024,12
136,2165.747756,57.1971834,1.469086852,2013,2024,12
137,680.4388333,-1.345551314,0.916682557,2013,2024,12
138,1620.275974,-32.47039374,0.797022382,2013,2024,12
141,5268.157017,-20.51049939,0.979592509,2013,2024,12
143,5405.746833,-123.4081426,0.830087972,2013,2024,12
144,6174.348492,-28.58420816,0.993497973,2013,2024,12
145,3438.712698,-11.42984725,0.961412809,2013,2024,12
146,9524.917616,50.29755927,0.942090099,2013,2024,12
147,7272.499807,-7.197589068,1.08229489,2013,2024,12
149,9859.476664,1.510350855,0.988274693,2013,2024,12
150,7866.108751,311.5299687,1.677573884,2013,2024,12
151,8563.461699,125.2204169,1.273447424,2013,2024,12
152,2752.578852,36.1415691,1.106460528,2013,2024,12
153,6164.251628,89.98746369,1.276482166,2013,2024,12
154,8614.248074,-19.09465632,1.018062267,2013,2024,12
155,6777.128225,88.23094598,0.960487391,2013,2024,12
156,4067.208937,-168.8344617,0.717366278,2013,2024,12
157,6205.869845,23.69502539,1.067738609,2013,2024,12
158,5047.412911,12.01789719,1.109391547,2013,2024,12
159,1917.370293,54.23304279,1.574721236,2013,2024,12
160,6010.228477,166.4396843,1.28536382,2013,2024,12
162,6545.295129,214.4339348,1.315901676,2013,2024,12
164,2167.329152,86.85809845,1.680658793,2013,2024,12
165,7881.765778,-98.03298401,0.882030897,2013,2024,12
167,5632.295651,45.10654722,1.071340511,2013,2024,12
168,3208.043097,-45.81131207,0.789703867,2013,2024,12
169,2607.211127,27.23518511,1.199800931,2013,2024,12
173,3596.472793,61.74085089,1.106338058,2013,2024,12
175,4915.24318,256.0755268,1.871013747,2013,2024,12
176,4718.171791,86.47956011,1.178716101,2013,2024,12
177,4914.781784,131.9734817,1.607628581,2013,2024,12
179,3294.550739,-12.23788013,0.921473565,2013,2024,12
180,4297.271874,91.5560424,1.291436975,2013,2024,12
181,3465.678067,83.15658621,1.325805919,2013,2024,12
182,3460.566061,58.35152193,1.109371188,2013,2024,12
183,3872.803498,49.42983106,0.992224405,2013,2024,12
185,1838.123973,54.72255755,1.012938365,2013,2024,12
186,3215.895988,18.01708633,0.970091359,2013,2024,12
187,3781.550149,43.7786416,1.042166206,2013,2024,12
188,3930.921563,80.39913823,1.211697168,2013,2024,12
189,3155.850744,4.848196271,0.98556409,2013,2024,12
190,3288.258245,-16.66107198,0.932359823,2013,2024,12
191,2473.223738,-24.02617481,0.846339055,2013,2024,12
192,2084.660858,35.12862124,1.405902593,2013,2024,12
193,2657.977814,-5.827455071,0.922219533,2013,2024,12
194,3045.744436,-61.63143179,0.85411087,2013,2024,12
195,3785.147457,4.988421309,1.108813136,2013,2024,12
196,881.6574623,-3.875422255,1.049950285,2013,2024,12
197,826.9730003,2.79199511,1.209072731,2013,2024,12
198,439.8960749,-8.444441801,0.7353211,2013,2024,12
199,211.1246201,2.040180969,1.08463357,2013,2024,12
200,2145.636883,3.866860845,1.031183907,2013,2024,12
201,1723.787205,14.62184212,1.007628528,2013,2024,12
202,1972.040865,13.48546744,1.099551183,2013,2024,12
203,580.0304112,-15.59295439,0.67775542,2013,2024,12
204,2242.119114,95.53668189,2.10075821,2013,2024,12
205,1631.299484,42.24580614,1.200431384,2013,2024,12
206,1406.776883,68.01848256,2.000393009,2013,2024,12
207,818.295349,12.21848714,1.432543763,2013,2024,12
208,2152.076947,110.971808,1.778245484,2013,2024,12
209,2760.869617,247.1249221,6.525615036,2013,2024,12
210,5395.769297,-197.1569556,0.688812787,2013,2024,12
211,7263.962537,163.6902981,1.145488842,2013,2024,12
212,8312.820301,-97.39037801,0.833212017,2013,2024,12
213,7647.362805,63.22942623,1.015593223,2013,2024,12
214,9948.836087,27.95477184,0.962964533,2013,2024,12
215,8785.388321,29.0392648,1.059796521,2013,2024,12
216,7365.920363,-71.31797379,0.881548045,2013,2024,12
217,8295.510616,-24.10165263,0.829652258,2013,2024,12
218,10192.73542,-115.0393711,0.949478513,2013,2024,12
220,6142.95665,-0.961046832,1.024412689,2013,2024,12
221,4459.047421,27.9686484,1.115867959,2013,2024,12
222,3157.111127,384.3158861,,2013,2024,12
223,5209.46886,10.48139039,0.952491739,2013,2024,12
224,3694.767919,89.28545827,1.333041909,2013,2024,12
225,1027.9326,-51.15978215,0.871178652,2013,2024,12
228,4984.395136,463.0364315,5.405000064,2013,2024,12
231,6085.135143,-180.1467685,0.764517008,2013,2024,12
232,6776.293028,18.59903471,1.045841217,2013,2024,12
234,6764.920292,-27.41011008,0.94955946,2013,2024,12
235,2854.404946,-14.05687421,0.999576822,2013,2024,12
236,3874.520355,321.068689,2.966826519,2013,2024,12
237,3857.947238,49.06435902,1.073014338,2013,2024,12
238,451.2561923,-4.910128047,1.106562949,2013,2024,12
240,4646.701258,-13.87106057,1.005274579,2013,2024,12
241,3592.463889,54.85578405,1.244737392,2013,2024,12
242,2700.519184,253.2036281,2.973859706,2013,2024,12
243,3590.011901,-48.6375546,0.903050625,2013,2024,12
244,4898.821428,61.33359099,1.232412464,2013,2024,12
245,4940.962448,58.95673418,1.34608692,2013,2024,12
246,2776.193863,3.017475734,1.131832999,2013,2024,12
247,1213.677429,12.74923657,1.121666005,2013,2024,12
248,2733.94295,76.33240893,1.203328966,2013,2024,12
249,2968.839436,-45.13401267,0.937922512,2013,2024,12
250,2615.285534,43.58514557,1.187495086,2013,2024,12
251,2314.287684,59.22865811,1.234584999,2013,2024,12
252,2008.485601,18.77957796,1.248755879,2013,2024,12
253,1565.829273,5.619182169,0.989559743,2013,2024,12
254,3578.690379,46.59035425,1.060835728,2013,2024,12
255,4635.97663,-29.27897091,0.942785995,2013,2024,12
256,4300.194739,52.21791037,1.156882242,2013,2024,12
257,3514.182827,20.08100774,0.985083439,2013,2024,12
258,1290.082117,7.854252461,1.024756856,2013,2024,12
259,2449.972175,58.51003355,1.312775044,2013,2024,12
260,6065.751431,26.1816102,1.178718396,2013,2024,12
261,3970.519092,48.151705,1.177790409,2013,2024,12
262,6870.954979,72.58377472,1.072315573,2013,2024,12
263,3996.836338,24.52347323,1.110918612,2013,2024,12
264,2855.049235,-6.926217144,0.950275344,2013,2024,12
265,3883.970138,52.55720902,1.136948661,2013,2024,12
266,10729.28974,650.0174543,2.103300027,2013,2024,12
268,3984.238294,-0.391323571,0.864194289,2013,2024,12
269,1723.006258,18.9916,0.99026225,2013,2024,12
270,3364.722628,-33.95058826,0.898597423,2013,2024,12
271,2876.835855,-66.33584727,0.837165733,2013,2024,12
272,824.1482233,26.88451457,1.405602487,2013,2024,12
273,3688.910942,432.8497422,1.858825216,2020,2024,5
276,622.3511335,3.704910011,1.093106281,2013,2024,12
277,3933.417322,-17.78770694,1.114235786,2013,2024,12
278,1743.896844,58.1529638,1.330047695,2013,2024,12
279,2148.29704,33.83439222,1.199107056,2013,2024,12
280,2223.052332,100.5111824,1.419503034,2013,2024,12
282,2447.361959,206.2523833,1.524008263,2020,2024,5
283,4557.396745,70.13184291,1.184484255,2013,2024,12
284,3186.128666,39.89314461,1.108631555,2013,2024,12
286,5487.085531,66.40850737,1.104289914,2013,2024,12
287,7526.68813,481.2246616,2.491291431,2013,2024,12
288,6458.790081,205.6203913,1.583953374,2013,2024,12
289,4937.879571,85.81503419,1.242063275,2013,2024,12
290,5781.510274,30.06663973,0.983270621,2013,2024,12
291,4280.663278,45.43937613,1.100461301,2013,2024,12
292,4368.767555,102.8810922,1.228742082,2013,2024,12
293,688.835015,-22.10091241,0.821732373,2013,2024,12
294,2229.514895,17.71182914,0.963895644,2013,2024,12
295,4397.436036,-69.40950966,0.920646367,2013,2024,12
296,6180.315258,-69.75689877,0.869993869,2013,2024,12
297,2888.567517,-66.93206076,0.773124643,2013,2024,12
298,4799.389452,-74.32738892,0.777031124,2013,2024,12
299,7985.308,58.40137382,1.047816622,2013,2024,12
300,12283.05992,-154.5629012,0.859565844,2013,2024,12
301,7124.793756,-88.42446143,0.843753561,2013,2024,12
303,8460.751108,-54.60017178,0.915579195,2013,2024,12
304,7027.79708,25.71555785,0.92785222,2013,2024,12
