station_complex_id,year,poverty_num,poverty_den,weighted_poverty
1.0,2013,42.29160505451567,2.6312420601064854,16.07286752356191
1.0,2014,38.56514777366704,2.6312420601064854,14.656632454448651
1.0,2015,37.87842533535299,2.6312420601064854,14.395644516954881
1.0,2016,23.064542578430242,2.6312420601064854,8.765648333204597
1.0,2017,21.699596060682435,2.6312420601064854,8.246902248060088
1.0,2018,22.758424355909,2.6312420601064854,8.649308515153477
1.0,2019,19.24248762506958,2.6312420601064854,7.313081497447195
1.0,2020,18.255558894180535,2.6312420601064854,6.9380005629135235
1.0,2021,17.16178316674288,2.6312420601064854,6.522312571291273
1.0,2022,26.594401411283897,2.6312420601064854,10.107166427024822
1.0,2023,26.949925201363325,2.6312420601064854,10.24228276446473
1.0,2024,22.529907067360735,2.6312420601064854,8.562460827510852
2.0,2013,37.20534727263244,3.12995190344202,11.886875076807915
2.0,2014,34.84731222578161,3.12995190344202,11.133497670510492
2.0,2015,36.296938613304846,3.12995190344202,11.596644208298844
2.0,2016,36.39172551070334,3.12995190344202,11.626928027450907
2.0,2017,38.27757831580283,3.12995190344202,12.229446169351302
2.0,2018,33.38745261697411,3.12995190344202,10.667081682711418
2.0,2019,34.85013718714806,3.12995190344202,11.134400227947026
2.0,2020,26.769407577604213,3.12995190344202,8.552657805433302
2.0,2021,22.891044290945267,3.12995190344202,7.313545063031767
2.0,2022,25.299952775191272,3.12995190344202,8.083176213464755
2.0,2023,24.04285462244092,3.12995190344202,7.681541239020606
2.0,2024,25.12793174188029,3.12995190344202,8.02821657235276
3.0,2013,54.384770503550406,3.2129549065001983,16.926714531076488
3.0,2014,58.1908705362829,3.2129549065001983,18.111325004454837
3.0,2015,59.720664278705236,3.2129549065001983,18.58745796832787
3.0,2016,52.440415444773414,3.2129549065001983,16.32155351408141
3.0,2017,51.67024367521981,3.2129549065001983,16.081845272924504
3.0,2018,41.96930412933257,3.2129549065001983,13.062525105604056
3.0,2019,39.69870461888935,3.2129549065001983,12.35582377411337
