stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,station_complex_id,complex_stop_name,complex_display_name,constituent_station_names,station_ids,borough,cbd,daytime_routes,structure_type,complex_latitude,complex_longitude,ada,ada_notes,is_ibx,station_complex_name,station_complex_lat,station_complex_lon
256S,Van Siclen Av,40.665449,-73.889395,0,256,,,,,,,,,,,,,,False,Van Siclen Av,,
257,New Lots Av,40.666235,-73.884079,1,,352.0,New Lots Av,New Lots Av (3),New Lots Av,352,Bk,False,3,Elevated,40.666235,-73.884079,0.0,,False,New Lots Av (3),40.666235,-73.884079
257N,New Lots Av,40.666235,-73.884079,0,257,,,,,,,,,,,,,,False,New Lots Av,,
257S,New Lots Av,40.666235,-73.884079,0,257,,,,,,,,,,,,,,False,New Lots Av,,
301,Harlem-148 St,40.82388,-73.93647,1,,436.0,Harlem-148 St,Harlem-148 St (3),Harlem-148 St,436,M,False,3,Subway,40.82388,-73.93647,0.0,,False,Harlem-148 St (3),40.82388,-73.93647
301N,Harlem-148 St,40.82388,-73.93647,0,301,,,,,,,,,,,,,,False,Harlem-148 St,,
301S,Harlem-148 St,40.82388,-73.93647,0,301,,,,,,,,,,,,,,False,Harlem-148 St,,
302,145 St,40.820421,-73.936245,1,,437.0,145 St,145 St (3),145 St,437,M,False,3,Subway,40.820421,-73.936245,0.0,,False,145 St (3),40.820421,-73.936245
302N,145 St,40.820421,-73.936245,0,302,,,,,,,,,,,,,,False,145 St,,
302S,145 St,40.820421,-73.936245,0,302,,,,,,,,,,,,,,False,145 St,,
401,Woodlawn,40.886037,-73.878751,1,,378.0,Woodlawn,Woodlawn (4),Woodlawn,378,Bx,False,4,Elevated,40.886037,-73.878751,0.0,,False,Woodlawn (4),40.886037,-73.878751
401N,Woodlawn,40.886037,-73.878751,0,401,,,,,,,,,,,,,,False,Woodlawn,,
401S,Woodlawn,40.886037,-73.878751,0,401,,,,,,,,,,,,,,False,Woodlawn,,
