YEAR,GEO_ID,NAME,S1701_C03_001E
2013,1400000US36047013600,"Census Tract 136, Kings County, New York",16.2
2013,1400000US36047013700,"Census Tract 137, Kings County, New York",14
2013,1400000US36047013800,"Census Tract 138, Kings County, New York",21.3
2013,1400000US36047013900,"Census Tract 139, Kings County, New York",9.8
2013,1400000US36047014000,"Census Tract 140, Kings County, New York",8.8
2013,1400000US36047014100,"Census Tract 141, Kings County, New York",3.1
2013,1400000US36047014200,"Census Tract 142, Kings County, New York",19.9
2013,1400000US36047014300,"Census Tract 143, Kings County, New York",19
2013,1400000US36047014500,"Census Tract 145, Kings County, New York",17.3
2013,1400000US36047014700,"Census Tract 147, Kings County, New York",18.1
2013,1400000US36047014800,"Census Tract 148, Kings County, New York",0.8
2013,1400000US36047014900,"Census Tract 149, Kings County, New York",6
2013,1400000US36047015000,"Census Tract 150, Kings County, New York",4.5
2013,1400000US36047015100,"Census Tract 151, Kings County, New York",5
2013,1400000US36047015200,"Census Tract 152, Kings County, New York",8.4
2013,1400000US36047015300,"Census Tract 153, Kings County, New York",3.6
2013,1400000US36047015500,"Census Tract 155, Kings County, New York",3.7
2013,1400000US36047015700,"Census Tract 157, Kings County, New York",2.3
2013,1400000US36047015900,"Census Tract 159, Kings County, New York",3.7
2013,1400000US36047016000,"Census Tract 160, Kings County, New York",21.9
2013,1400000US36047016100,"Census Tract 161, Kings County, New York",5.9
2013,1400000US36047016200,"Census Tract 162, Kings County, New York",8.5
2013,1400000US36047016300,"Census Tract 163, Kings County, New York",11.4
2013,1400000US36047016400,"Census Tract 164, Kings County, New York",7
2013,1400000US36047016500,"Census Tract 165, Kings County, New York",6.4
2013,1400000US36047016600,"Census Tract 166, Kings County, New York",6.1
2013,1400000US36047016700,"Census Tract 167, Kings County, New York",8.5
2013,1400000US36047016800,"Census Tract 168, Kings County, New York",10.2
2013,1400000US36047016900,"Census Tract 169, Kings County, New York",26.3
2013,1400000US36047017000,"Census Tract 170, Kings County, New York",16.4
2013,1400000US36047017100,"Census Tract 171, Kings County, New York",5
2013,1400000US36047017200,"Census Tract 172, Kings County, New York",4.6
2013,1400000US36047017400,"Census Tract 174, Kings County, New York",6
2013,1400000US36047017600,"Census Tract 176, Kings County, New York",12.8
2013,1400000US36047017800,"Census Tract 178, Kings County, New York",13.4
2013,1400000US36047017900,"Census Tract 179, Kings County, New York",15.5
2013,1400000US36047018000,"Census Tract 180, Kings County, New York",36.1
2013,1400000US36047018100,"Census Tract 181, Kings County, New York",10
2013,1400000US36047018200,"Census Tract 182, Kings County, New York",18.2
2013,1400000US36047018300,"Census Tract 183, Kings County, New York",4.8
2013,1400000US36047018400,"Census Tract 184, Kings County, New York",4.5
2013,1400000US36047018501,"Census Tract 185.01, Kings County, New York",47.6
2013,1400000US36047018600,"Census Tract 186, Kings County, New York",4
2013,1400000US36047018700,"Census Tract 187, Kings County, New York",6.6
2013,1400000US36047018800,"Census Tract 188, Kings County, New York",7.5
2013,1400000US36047019000,"Census Tract 190, Kings County, New York",26.2
2013,1400000US36047019100,"Census Tract 191, Kings County, New York",29.8
2013,1400000US36047019200,"Census Tract 192, Kings County, New York",29.8
2013,1400000US36047019300,"Census Tract 193, Kings County, New York",22.6
2013,1400000US36047019400,"Census Tract 194, Kings County, New York",11.3
2013,1400000US36047019500,"Census Tract 195, Kings County, New York",10.7
2013,1400000US36047019600,"Census Tract 196, Kings County, New York",30.5
2013,1400000US36047019700,"Census Tract 197, Kings County, New York",12
2013,1400000US36047019800,"Census Tract 198, Kings County, New York",16.6
2013,1400000US36047019900,"Census Tract 199, Kings County, New York",10.9
2013,1400000US36047020000,"Census Tract 200, Kings County, New York",11.9
2013,1400000US36047020100,"Census Tract 201, Kings County, New York",7.9
2013,1400000US36047020200,"Census Tract 202, Kings County, New York",6.2
2013,1400000US36047020300,"Census Tract 203, Kings County, New York",18.8
2013,1400000US36047020400,"Census Tract 204, Kings County, New York",8.5
2013,1400000US36047020500,"Census Tract 205, Kings County, New York",6.7
2013,1400000US36047020600,"Census Tract 206, Kings County, New York",6.4
2013,1400000US36047020700,"Census Tract 207, Kings County, New York",4.7
2013,1400000US36047020800,"Census Tract 208, Kings County, New York",9.1
2013,1400000US36047021000,"Census Tract 210, Kings County, New York",19.3
2013,1400000US36047021100,"Census Tract 211, Kings County, New York",15.6
2013,1400000US36047021200,"Census Tract 212, Kings County, New York",26.7
2013,1400000US36047021300,"Census Tract 213, Kings County, New York",27.1
2013,1400000US36047021400,"Census Tract 214, Kings County, New York",33.6
2013,1400000US36047021500,"Census Tract 215, Kings County, New York",20.6
2013,1400000US36047021600,"Census Tract 216, Kings County, New York",42.2
2013,1400000US36047021700,"Census Tract 217, Kings County, New York",16.3
2013,1400000US36047021800,"Census Tract 218, Kings County, New York",48.5
2013,1400000US36047021900,"Census Tract 219, Kings County, New York",27.6
2013,1400000US36047022000,"Census Tract 220, Kings County, New York",43.3
2013,1400000US36047022100,"Census Tract 221, Kings County, New York",24.7
2013,1400000US36047022200,"Census Tract 222, Kings County, New York",43.6
2013,1400000US36047022400,"Census Tract 224, Kings County, New York",36.4
2013,1400000US36047022600,"Census Tract 226, Kings County, New York",16.7
2013,1400000US36047022700,"Census Tract 227, Kings County, New York",18.9
2013,1400000US36047022800,"Census Tract 228, Kings County, New York",24
2013,1400000US36047022900,"Census Tract 229, Kings County, New York",11.5
2013,1400000US36047023000,"Census Tract 230, Kings County, New York",44.8
2013,1400000US36047023100,"Census Tract 231, Kings County, New York",22.1
2013,1400000US36047023200,"Census Tract 232, Kings County, New York",49.8
2013,1400000US36047023300,"Census Tract 233, Kings County, New York",38
2013,1400000US36047023400,"Census Tract 234, Kings County, New York",42.5
2013,1400000US36047023500,"Census Tract 235, Kings County, New York",47
2013,1400000US36047023600,"Census Tract 236, Kings County, New York",45.5
2013,1400000US36047023800,"Census Tract 238, Kings County, New York",27.9
2013,1400000US36047024000,"Census Tract 240, Kings County, New York",33.2
2013,1400000US36047024100,"Census Tract 241, Kings County, New York",28.5
2013,1400000US36047024200,"Census Tract 242, Kings County, New York",22.8
2013,1400000US36047024300,"Census Tract 243, Kings County, New York",22.3
2013,1400000US36047024400,"Census Tract 244, Kings County, New York",31.9
2013,1400000US36047024500,"Census Tract 245, Kings County, New York",23.3
2013,1400000US36047024600,"Census Tract 246, Kings County, New York",21
2013,1400000US36047024700,"Census Tract 247, Kings County, New York",19.7
2013,1400000US36047024800,"Census Tract 248, Kings County, New York",20.4
2013,1400000US36047024900,"Census Tract 249, Kings County, New York",22.9
2013,1400000US36047025000,"Census Tract 250, Kings County, New York",21.1
2013,1400000US36047025100,"Census Tract 251, Kings County, New York",31.9
2013,1400000US36047025200,"Census Tract 252, Kings County, New York",13.3
2013,1400000US36047025300,"Census Tract 253, Kings County, New York",23.9
2013,1400000US36047025400,"Census Tract 254, Kings County, New York",21.5
2013,1400000US36047025500,"Census Tract 255, Kings County, New York",41.1
2013,1400000US36047025600,"Census Tract 256, Kings County, New York",15.3
2013,1400000US36047025700,"Census Tract 257, Kings County, New York",30
2013,1400000US36047025800,"Census Tract 258, Kings County, New York",21.2
2013,1400000US36047025901,"Census Tract 259.01, Kings County, New York",28.5
2013,1400000US36047025902,"Census Tract 259.02, Kings County, New York",63.7
2013,1400000US36047026000,"Census Tract 260, Kings County, New York",19.6
2013,1400000US36047026100,"Census Tract 261, Kings County, New York",26.1
2013,1400000US36047026200,"Census Tract 262, Kings County, New York",14
2013,1400000US36047026300,"Census Tract 263, Kings County, New York",20.3
2013,1400000US36047026400,"Census Tract 264, Kings County, New York",26.2
2013,1400000US36047026500,"Census Tract 265, Kings County, New York",32.6
2013,1400000US36047026600,"Census Tract 266, Kings County, New York",7.7
2013,1400000US36047026700,"Census Tract 267, Kings County, New York",22
2013,1400000US36047026800,"Census Tract 268, Kings County, New York",11.9
2013,1400000US36047026900,"Census Tract 269, Kings County, New York",7.9
2013,1400000US36047027000,"Census Tract 270, Kings County, New York",17
2013,1400000US36047027100,"Census Tract 271, Kings County, New York",21.8
2013,1400000US36047027200,"Census Tract 272, Kings County, New York",13.7
