station_complex_id,station_complex_name,borough,avg_annual_ridership,log_avg_ridership,subway_trips_per_hour_am_peak,subway_lines_serving_station,jobs_access_network,pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,pct_walked_access_network,bus_routes_access_network,avg_headway_min_am_peak,service_x_jobs_access,density_x_service,jobs_x_density,entropy_x_density,inv_headway,log_jobs_access,log_density,cluster
419,"225 St (2,5)",Bronx,1906.389635,7.553490903,42.33,2,2261,43903,1.782420997,0.693147181,3.660940981,11,1.0,95708.13,1858413.99,99264683,78253.62903,0.999999,7.724004657,10.68976071,1
420,"219 St (2,5)",Bronx,1536.946118,7.338203115,42.0,2,1702,43617,1.725185729,1.098612289,3.858898626,9,1.5,71484.0,1831914.0,74236134,75247.42594,0.666666222,7.440146681,10.68322519,1
421,"Gun Hill Rd (2,5)",Bronx,4025.566219,8.300669237,41.67,0,4317,42584,1.884976077,1.098612289,5.25297706,15,1.5,179889.39,1774475.28,183835128,80269.82126,0.666666222,8.370547611,10.65925736,1
422,"Burke Av (2,5)",Bronx,1720.819908,7.451137097,41.33,0,2042,44740,1.972000692,0.693147181,4.779729862,10,1.5,84395.86,1849104.2,91359080,88227.31096,0.666666222,7.622174595,10.70864559,1
423,"Allerton Av (2,5)",Bronx,2771.940977,7.927663761,42.0,2,2505,49171,1.627446841,1.098612289,6.090524922,16,1.5,105210.0,2065182.0,123173355,80023.18862,0.666666222,7.826443135,10.80307963,1
424,"Pelham Pkwy (2,5)",Bronx,5333.610728,8.581971195,42.67,0,3658,45316,1.552487721,1.945910149,6.709299502,17,1.5,156086.86,1933633.72,165765928,70352.53356,0.666666222,8.204945165,10.72143752,1
425,"Bronx Park East (2,5)",Bronx,1506.366534,7.31811939,42.67,0,3679,32130,1.908385811,1.386294361,5.610551894,15,1.5,156982.93,1370987.1,118206270,61316.43611,0.666666222,8.210668031,10.37757658,1
426,"E 180 St (2,5)",Bronx,5687.194364,8.646148142,79.33,0,3281,36378,2.129864101,1.386294361,5.894997825,15,1.0,260281.73,2885866.74,119356218,77480.19627,0.999999,8.096208272,10.50174696,1
427,"West Farms Sq-E Tremont Av (2,5)",Bronx,3228.187954,8.079985977,65.0,0,4054,44311,1.995208127,0.693147181,6.108868215,18,1.0,263510.0,2880215.0,179636794,88409.66732,0.999999,8.307705967,10.6990108,1
428,"174 St (2,5)",Bronx,3595.812651,8.187803358,65.0,0,4197,40325,1.859549481,0.0,6.631657991,15,1.0,272805.0,2621125.0,169244025,74986.33282,0.999999,8.3423635,10.6047517,1
429,"Freeman St (2,5)",Bronx,2699.229136,7.901091914,65.0,0,4851,53200,1.999037251,0.693147181,9.273418759,14,1.0,315315.0,3458000.0,258073200,106348.7818,0.999999,8.48714627,10.88183247,1
430,"Simpson St (2,5)",Bronx,4497.658261,8.411534467,65.33,0,3440,56197,2.173529145,1.791759469,8.235732351,12,1.0,224735.2,3671350.01,193317680,122145.8174,0.999999,8.143517406,10.93663645,1
