station_complex_id,station_complex,borough,latitude,longitude,geometry,avg_annual_ridership,log_avg_ridership
323,Christopher St-Sheridan Sq (1),Manhattan,40.73342,-74.00291,POINT (-74.00291 40.73342),8312.340953,9.025616847
356,"Church Av (2,5)",Brooklyn,40.650845,-73.94958,POINT (-73.94958 40.650845),6251.356797,8.740713759
44,"Church Av (B,Q)",Brooklyn,40.650528,-73.96298,POINT (-73.96298 40.650528),10076.11865,9.218022653
243,"Church Av (F,G)",Brooklyn,40.64404,-73.979675,POINT (-73.979675 40.64404),6645.110547,8.801787082
20,"City Hall (R,W)",Manhattan,40.713284,-74.00698,POINT (-74.00698 40.713284),4121.245948,8.324153427
334,"Clark St (2,3)",Brooklyn,40.697468,-73.99309,POINT (-73.99309 40.697468),4925.591618,8.502402673
290,Classon Av (G),Brooklyn,40.688873,-73.96007,POINT (-73.96007 40.688873),4016.483007,8.298410868
89,Cleveland St (J),Brooklyn,40.679947,-73.884636,POINT (-73.884636 40.679947),1388.30491,7.236558837
177,Clinton-Washington Avs (C),Brooklyn,40.68326,-73.965836,POINT (-73.965836 40.68326),5434.62367,8.600729544
291,Clinton-Washington Avs (G),Brooklyn,40.688087,-73.96684,POINT (-73.96684 40.688087),3930.457184,8.276765421
58,"Coney Island-Stillwell Av (D,F,N,Q)",Brooklyn,40.577423,-73.98123,POINT (-73.98123 40.577423),9972.860426,9.207722992
46,Cortelyou Rd (Q),Brooklyn,40.640926,-73.96389,POINT (-73.96389 40.640926),4235.578374,8.351511235
606,"Court Sq (E,G,M,7)",Queens,40.747845,-73.94383,POINT (-73.94383 40.747845),18883.9059,9.846118252
620,"Court St (R)/Borough Hall (2,3,4,5)",Brooklyn,40.69322,-73.99,POINT (-73.99 40.69322),22325.47859,10.01352863
87,"Crescent St (J,Z)",Brooklyn,40.683193,-73.87379,POINT (-73.87379 40.683193),2326.403181,7.75250841
