station_complex,station_complex_id,borough,latitude,longitude,geometry,year,annual_weekday_avg_ridership,log_ridership
"138 St-Grand Concourse (4,5)",391,Bronx,40.813225,-73.92985,POINT (-73.92985 40.813225),2024,2661.352201,7.886965297
"14 St (A,C,E)/8 Av (L)",618,Manhattan,40.740894,-74.00169,POINT (-74.00169 40.740894),2023,33997.17308,10.43406207
"14 St (A,C,E)/8 Av (L)",618,Manhattan,40.740894,-74.00169,POINT (-74.00169 40.740894),2024,35802.62264,10.48580436
"14 St (F,M,1,2,3)/6 Av (L)",601,Manhattan,40.738228,-73.99621,POINT (-73.99621 40.738228),2023,36498.19231,10.50504541
"14 St (F,M,1,2,3)/6 Av (L)",601,Manhattan,40.738228,-73.99621,POINT (-73.99621 40.738228),2024,32327.84906,10.38371527
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",602,Manhattan,40.735737,-73.98995,POINT (-73.98995 40.735737),2023,67794.90385,11.12425706
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",602,Manhattan,40.735737,-73.98995,POINT (-73.98995 40.735737),2024,70842.56604,11.16822943
145 St (1),304,Manhattan,40.82655,-73.95036,POINT (-73.95036 40.82655),2023,6516.442308,8.782237294
145 St (1),304,Manhattan,40.82655,-73.95036,POINT (-73.95036 40.82655),2024,6304.113208,8.749116203
145 St (3),437,Manhattan,40.82042,-73.93625,POINT (-73.93625 40.82042),2023,2014.878205,7.608810213
145 St (3),437,Manhattan,40.82042,-73.93625,POINT (-73.93625 40.82042),2024,1993.333333,7.598065105
"145 St (A,C,B,D)",151,Manhattan,40.824783,-73.944214,POINT (-73.944214 40.824783),2023,15322.83333,9.63716463
"145 St (A,C,B,D)",151,Manhattan,40.824783,-73.944214,POINT (-73.944214 40.824783),2024,15979.50314,9.679124705
"149 St-Grand Concourse (2,4,5)",603,Bronx,40.818375,-73.92735,POINT (-73.92735 40.818375),2023,7052.878205,8.861332845
"149 St-Grand Concourse (2,4,5)",603,Bronx,40.818375,-73.92735,POINT (-73.92735 40.818375),2024,6907.45283,8.840500989
"15 St-Prospect Park (F,G)",241,Brooklyn,40.660366,-73.97949,POINT (-73.97949 40.660366),2023,4475.224359,8.406535193
"15 St-Prospect Park (F,G)",241,Brooklyn,40.660366,-73.97949,POINT (-73.97949 40.660366),2024,4471.773585,8.405763984
"155 St (B,D)",220,Manhattan,40.830135,-73.93821,POINT (-73.93821 40.830135),2023,1948.378205,7.575265732
"155 St (B,D)",220,Manhattan,40.830135,-73.93821,POINT (-73.93821 40.830135),2024,1820.830189,7.507596873
155 St (C),150,Manhattan,40.830517,-73.94151,POINT (-73.94151 40.830517),2023,1671.679487,7.422182103
155 St (C),150,Manhattan,40.830517,-73.94151,POINT (-73.94151 40.830517),2024,1723.566038,7.452730725
157 St (1),303,Manhattan,40.83404,-73.94489,POINT (-73.94489 40.83404),2023,7203.878205,8.882513604
157 St (1),303,Manhattan,40.83404,-73.94489,POINT (-73.94489 40.83404),2024,6949.805031,8.846612764
"161 St-Yankee Stadium (B,D,4)",604,Bronx,40.827904,-73.92565,POINT (-73.92565 40.827904),2023,16554.88462,9.714496883
"161 St-Yankee Stadium (B,D,4)",604,Bronx,40.827904,-73.92565,POINT (-73.92565 40.827904),2024,18454.42138,9.823113448
163 St-Amsterdam Av (C),149,Manhattan,40.836014,-73.939896,POINT (-73.939896 40.836014),2023,2615.307692,7.869519325
163 St-Amsterdam Av (C),149,Manhattan,40.836014,-73.939896,POINT (-73.939896 40.836014),2024,2744.666667,7.91777919
167 St (4),388,Bronx,40.835537,-73.9214,POINT (-73.9214 40.835537),2023,5852.480769,8.674791767
