station_complex_id,year,weighted_pop
1.0,2013,2507.050162998307
1.0,2014,2542.0625225544586
1.0,2015,2593.3048831637966
1.0,2016,2686.069785148892
1.0,2017,2719.2331618697317
1.0,2018,2831.7098823686206
1.0,2019,2773.0153639726464
1.0,2020,2795.7861786867984
1.0,2021,2889.823422132775
1.0,2022,2958.8413205368247
1.0,2023,2827.688303091339
1.0,2024,2926.2451267857555
2.0,2013,3395.594437445052
2.0,2014,3296.11053515731
2.0,2015,3152.845924328225
2.0,2016,3176.4477570385257
2.0,2017,3215.1348093060956
2.0,2018,2961.6353838902783
2.0,2019,2985.34954518029
2.0,2020,2899.7210073229157
2.0,2021,2966.573956001592
2.0,2022,2855.0086735311693
2.0,2023,2980.312641303244
2.0,2024,3222.8598548183822
3.0,2013,3966.233091056838
3.0,2014,3986.4894979329556
3.0,2015,4230.093202303316
3.0,2016,3707.7565176393123
3.0,2017,3999.227007343828
3.0,2018,3830.8303778490126
3.0,2019,3950.055328758712
3.0,2020,4031.4835111326465
3.0,2021,3865.3411609370455
3.0,2022,3751.4405442648567
3.0,2023,4369.601868870936
3.0,2024,4286.099278075692
4.0,2013,4432.9179003843
4.0,2014,4466.065247421316
4.0,2015,4782.21336628176
4.0,2016,5288.022057114691
4.0,2017,5274.720123347768
4.0,2018,5406.100280916973
4.0,2019,5218.041699302612
4.0,2020,5333.239530561046
4.0,2021,5427.039375799606
4.0,2022,5545.916160936601
4.0,2023,5548.093001529642
4.0,2024,5338.977140610259
5.0,2013,3542.973854223531
5.0,2014,3708.7783197198387
5.0,2015,3788.601521404893
5.0,2016,3817.730950269698
5.0,2017,4302.426399598044
5.0,2018,4014.813151818445
5.0,2019,4164.772488571599
5.0,2020,3594.1066926693616
5.0,2021,4399.692079359783
5.0,2022,4170.381018228124
5.0,2023,3802.4033889387156
5.0,2024,3833.4548377656265
6.0,2013,944.281937181902
6.0,2014,870.4415782319443
6.0,2015,856.8347566386716
6.0,2016,802.6754804700835
6.0,2017,788.0182869482946
6.0,2018,791.2764568401958
6.0,2019,865.4083607444904
6.0,2020,894.6973501663181
6.0,2021,1011.8044252251813
6.0,2022,1175.9877765373374
6.0,2023,1334.715735563377
6.0,2024,1484.9170797982663
8.0,2013,979.4995621163044
8.0,2014,1014.3166145023035
8.0,2015,997.9136342549466
8.0,2016,1047.1453573336248
8.0,2017,1059.3232530793664
8.0,2018,1044.3039206953135
8.0,2019,1087.2178032226216
8.0,2020,1232.8362126760178
8.0,2021,1184.5777608719425
8.0,2022,1182.8590864477583
8.0,2023,1234.9554690952496
8.0,2024,1156.442506407571
9.0,2013,4717.393689505694
9.0,2014,5070.506991689099
9.0,2015,4897.112081190366
9.0,2016,4722.882137409732
9.0,2017,4524.136523203457
9.0,2018,4535.327288919898
9.0,2019,4308.469596375239
9.0,2020,4878.003625924909
9.0,2021,5251.033064780356
9.0,2022,5500.192060158883
9.0,2023,5456.85312581483
9.0,2024,5566.420102184622
10.0,2013,2596.009356290774
10.0,2014,2640.525304658948
10.0,2015,2675.6115325352357
10.0,2016,2686.7989596501134
10.0,2017,2667.938733787963
10.0,2018,2596.4028517787574
10.0,2019,2533.9623011011176
10.0,2020,2308.392055616012
10.0,2021,2450.2506881689637
10.0,2022,2523.331395432067
10.0,2023,2702.59434850712
10.0,2024,2849.8503815209215
13.0,2013,5101.798744668202
13.0,2014,4645.505395082304
13.0,2015,4850.794049304164
13.0,2016,5194.639782227581
13.0,2017,4990.017614573922
13.0,2018,5243.140753897908
13.0,2019,6064.34498346158
13.0,2020,3681.018704773542
13.0,2021,3490.0355800855755
13.0,2022,3605.995870157667
13.0,2023,3806.021080616922
13.0,2024,3936.069660822936
14.0,2013,2149.4025115663217
14.0,2014,2125.271814127039
14.0,2015,2130.947056202118
14.0,2016,2140.696871543996
14.0,2017,2206.060619380066
14.0,2018,2586.4548192880943
14.0,2019,2850.279451083994
14.0,2020,3808.007311812133
14.0,2021,3798.54133781062
14.0,2022,3993.4165092760613
14.0,2023,3708.9186915653036
14.0,2024,3507.4276942359525
16.0,2013,8210.53422667247
16.0,2014,8708.818346546064
16.0,2015,8526.086857607894
16.0,2016,8517.637432235117
16.0,2017,8545.973777111723
16.0,2018,8476.932547574388
16.0,2019,8371.149691810051
16.0,2020,6964.98054651729
16.0,2021,6731.027046746903
16.0,2022,6527.106462386344
16.0,2023,6499.442596376731
16.0,2024,6450.859483072942
17.0,2013,3759.365959578384
17.0,2014,3775.646400352929
17.0,2015,3538.2609375212755
17.0,2016,3491.150581403225
17.0,2017,3569.2242955153806
17.0,2018,3541.423083012568
17.0,2019,3415.730889569538
17.0,2020,3485.614803324004
17.0,2021,3584.690958172263
17.0,2022,3349.7589882562693
17.0,2023,3303.953306996249
17.0,2024,3319.62891691849
20.0,2013,4965.246862979704
20.0,2014,5260.7634580859885
20.0,2015,5589.989111907156
20.0,2016,5578.310328202113
20.0,2017,5635.9892316039095
20.0,2018,5428.8030920246965
20.0,2019,5579.735635095033
20.0,2020,3502.0730677840947
20.0,2021,3861.91323728121
20.0,2022,3727.233329304246
20.0,2023,4028.248454585575
20.0,2024,3889.8627518674493
22.0,2013,6985.781406900278
22.0,2014,7825.00709682502
22.0,2015,8101.243270310262
22.0,2016,8312.84331182941
22.0,2017,8694.517595339781
22.0,2018,8400.35756852186
22.0,2019,7977.4261958059515
22.0,2020,4305.873599030246
22.0,2021,4563.601677304107
22.0,2022,4705.910244892728
22.0,2023,5090.9897983284745
22.0,2024,4828.0913011787925
26.0,2013,622.8420914095425
26.0,2014,662.8274103820997
26.0,2015,738.3668461070833
26.0,2016,769.39157354177
26.0,2017,830.5233015759458
26.0,2018,950.8245653239019
26.0,2019,1191.976187064857
26.0,2020,4349.6959314635105
26.0,2021,4707.507103318476
26.0,2022,5105.35869156801
26.0,2023,5087.395020332527
26.0,2024,5435.304007390276
28.0,2013,2714.727874359701
28.0,2014,2666.3841647696318
28.0,2015,2644.1963836355776
28.0,2016,2637.3968361315574
28.0,2017,2757.805298666124
28.0,2018,2790.3067406274595
28.0,2019,2624.421813874748
28.0,2020,3230.203300382567
28.0,2021,2951.2727629532546
28.0,2022,2900.4735262137174
28.0,2023,2910.5228688920706
28.0,2024,2830.518427016593
30.0,2013,2002.3999900917702
30.0,2014,1939.3826529357784
30.0,2015,2019.8417997612391
30.0,2016,2114.097103478003
30.0,2017,2156.751615585563
30.0,2018,2198.4781531781096
30.0,2019,2227.1465127960196
30.0,2020,3258.571210274247
30.0,2021,3457.6352332454135
30.0,2022,3281.6676723282103
30.0,2023,3464.1416026312368
30.0,2024,3340.4503104790983
31.0,2013,2828.366555023531
31.0,2014,2899.4552706783265
31.0,2015,2720.730865664023
31.0,2016,2735.1505853717335
31.0,2017,2639.008839453763
31.0,2018,2413.543006424784
31.0,2019,2439.507139427333
31.0,2020,2594.1751739281863
31.0,2021,2831.1334722792294
31.0,2022,2897.2242983968163
31.0,2023,3036.652585900329
31.0,2024,3176.5332762043736
32.0,2013,2692.611935655457
32.0,2014,2679.1137638118394
32.0,2015,2531.9570692985812
32.0,2016,2336.8381700943237
32.0,2017,2520.1698294389844
