station_complex_id,poverty_latest,poverty_slope,poverty_change_ratio,poverty_first_year,poverty_last_year,n_years
120,14.69996214,0.551739275,1.402860633,2013,2024,12
122,8.6518225,-0.02312959,0.695821092,2013,2024,12
123,17.08705893,0.612609487,0.98482633,2013,2024,12
124,32.73576983,1.711113205,1.620582665,2013,2024,12
125,34.31926195,0.326430002,1.053194807,2013,2024,12
126,31.58490587,0.936583714,1.394645349,2013,2024,12
127,12.22413743,-1.326563987,0.425432487,2013,2024,12
129,14.22280827,-1.113164511,0.584997052,2013,2024,12
130,23.02099708,-0.910086709,0.641928178,2013,2024,12
131,12.1388714,-1.362291189,0.493800749,2013,2024,12
133,32.20689809,0.223512544,1.235441893,2013,2024,12
134,41.61046037,-1.164302787,0.769533135,2013,2024,12
135,28.6595516,-1.072754464,0.734699641,2013,2024,12
136,18.46294847,-0.893386688,0.71291499,2013,2024,12
137,28.73760413,0.415741547,1.389614868,2013,2024,12
138,22.0736276,0.225684458,1.183717641,2013,2024,12
141,14.26926425,-0.682505874,0.688410029,2013,2024,12
143,23.5893963,-1.351282532,0.797146923,2013,2024,12
144,11.60027985,-1.263641424,0.507684904,2013,2024,12
145,8.656910047,-0.577257516,0.570564758,2013,2024,12
146,8.423939343,-1.175875151,0.517433916,2013,2024,12
147,17.06295001,-0.993224135,0.63972022,2013,2024,12
149,23.96175698,-1.271834134,0.691708455,2013,2024,12
150,18.92468179,-1.559091117,0.692023627,2013,2024,12
151,20.33967339,-0.375284183,0.828838214,2013,2024,12
152,17.69592411,-0.655701152,0.921467635,2013,2024,12
153,23.63801731,-0.78116612,0.806734013,2013,2024,12
154,16.82694644,-0.856019356,0.710395338,2013,2024,12
155,18.53269275,-1.137169792,0.662043657,2013,2024,12
156,31.86865461,0.023884977,0.942489505,2013,2024,12
157,8.000090833,-0.40832415,0.731847674,2013,2024,12
158,6.122495,0.041113136,0.864542651,2013,2024,12
159,8.397892701,0.097787943,1.166253649,2013,2024,12
160,4.255689853,-0.203614669,0.693382831,2013,2024,12
162,11.27630988,-0.244880998,0.696933052,2013,2024,12
164,13.47475579,0.238462938,0.987364441,2013,2024,12
165,13.61245346,-0.027499265,0.899288853,2013,2024,12
167,6.885918008,-0.130305024,0.965003698,2013,2024,12
168,6.371769997,-0.011526244,0.940243243,2013,2024,12
169,4.180641408,-0.412526055,0.585252198,2013,2024,12
173,5.375620284,-1.769193912,0.25057333,2013,2024,12
175,10.56594821,0.222502395,1.056598915,2013,2024,12
176,12.4860756,0.161080707,1.143248795,2013,2024,12
177,5.920445254,-0.374882893,0.582820111,2013,2024,12
179,14.88602531,-0.683744774,0.664139663,2013,2024,12
180,14.92361612,-0.612986847,0.857338818,2013,2024,12
181,22.51525887,-1.455054008,0.657156018,2013,2024,12
182,28.89044015,-0.331596219,0.945335271,2013,2024,12
183,21.46148726,-0.46360952,0.834548457,2013,2024,12
185,36.03762011,-0.592808032,0.920444673,2013,2024,12
186,14.14117379,-2.031955077,0.333847064,2013,2024,12
187,19.39587225,-1.796642505,0.517150522,2013,2024,12
188,19.84835363,-0.683564242,0.596441107,2013,2024,12
