station_complex_id,station_complex_name,borough,log_avg_ridership,subway_trips_per_hour_am_peak,subway_lines_serving_station,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,pct_walked_access_network,log_pct_walked_access_network,log_bus_routes_access_network
293,Van Cortlandt Park-242 St (1),Bronx,8.482839758,43.33,0,0.6666662222225186,8.305731144875866,9.969415732650235,1.576416256,0.693147181,7.001991559,2.079690455573202,2.4849066497880004
294,238 St (1),Bronx,8.049868062,46.33,0,0.7999993600005121,8.617038526385954,10.577324484561574,2.03586765,1.609437912,5.784740025,1.9146759764142096,2.4849066497880004
295,231 St (1),Bronx,8.711021066,45.67,0,0.999999000001,7.997326822998097,10.929672507268652,2.04220241,1.386294361,6.640499384,2.033462965440176,2.833213344056216
296,Marble Hill-225 St (1),Manhattan,8.123497915,46.33,0,0.999999000001,8.334951631422454,10.80689565857927,2.241515982,1.945910149,6.62281374,2.0311455587577343,2.833213344056216
297,215 St (1),Manhattan,7.394172733,46.33,0,0.999999000001,7.340186835320115,10.530655174162098,2.047247853,2.772588722,10.67212612,2.4572036165082345,2.5649493574615367
298,207 St (1),Manhattan,8.343789186,47.0,0,0.999999000001,7.37650812632622,11.034728360695963,2.129959783,2.944438979,10.79233622,2.4674498475913875,2.4849066497880004
299,Dyckman St (1),Manhattan,8.446741852,46.67,0,0.6666662222225186,7.640603826393634,11.306036587736513,1.963544909,2.890371758,10.78224175,2.4665934614766685,2.772588722239781
300,191 St (1),Manhattan,8.570726082,47.0,0,0.999999000001,7.992944547318106,11.361206825334252,1.880147296,3.258096538,10.64536801,2.4549085052414243,2.833213344056216
301,181 St (1),Manhattan,8.908669678,46.33,1,0.999999000001,8.510369966068112,11.508184243120011,1.910275953,3.688879454,10.8871903,2.475461374955899,2.772588722239781
605,"168 St-Washington Hts (1,A,C)",Manhattan,9.760511352,71.67,0,0.999999000001,7.753623546559746,11.300115834295552,1.696153105,2.944438979,12.2210317,2.581808872225713,2.772588722239781
303,157 St (1),Manhattan,8.864724284,46.67,0,0.6666662222225186,7.5595594960077,11.290119356715705,1.817454055,3.465735903,10.32446809,2.426965702495658,2.5649493574615367
304,145 St (1),Manhattan,8.765813868,47.0,0,0.6666662222225186,7.603897968521881,11.192610001903745,1.959170676,3.526360525,6.310334029,1.989288967519353,2.8903717578961645
305,137 St-City College (1),Manhattan,9.057274684,50.67,0,0.999999000001,8.000014093678072,11.077346450578776,2.011932214,3.36729583,8.224436414,2.221856094726984,2.9444389791664403
306,125 St (1),Manhattan,8.768383258,51.0,0,0.999999000001,9.091669442258503,10.975139659621457,1.997356139,3.713572067,15.79686681,2.821192369611275,3.044522437723423
307,116 St-Columbia University (1),Manhattan,9.318674803,51.0,0,0.6666662222225186,9.246382963323112,11.026337065568285,1.785818746,3.891820298,20.75039715,3.0796320171381004,2.833213344056216
308,Cathedral Pkwy (110 St) (1),Manhattan,9.091963734,51.33,0,0.999999000001,9.221675881639928,11.139060762931893,1.819313776,3.970291914,17.24908857,2.9041151374115257,2.772588722239781
309,103 St (1),Manhattan,9.091175143,51.33,0,0.6666662222225186,8.872627365918836,11.424498541112158,1.778581228,3.988984047,12.57589735,2.6082959667660384,2.639057329615259
310,"96 St (1,2,3)",Manhattan,10.13376868,126.67,0,1.999996000008,8.53856321715243,11.52529860103337,1.682327114,4.143134726,7.896870497,2.185699585351366,2.5649493574615367
311,86 St (1),Manhattan,9.433866719,52.33,0,0.999999000001,8.753687227098585,11.465875785278568,1.759991371,4.094344562,8.45686341,2.2467407646595343,3.58351893845611
312,79 St (1),Manhattan,9.260694055,52.33,0,0.999999000001,8.967249182852276,11.390396183688612,1.850500444,4.158883083,10.9942344,2.48442606766024,2.70805020110221
313,"72 St (1,2,3)",Manhattan,10.25472039,127.33,0,1.999996000008,9.296884973376368,11.45163499652712,1.923526123,4.276666119,15.79119197,2.820854461422465,2.70805020110221
314,66 St-Lincoln Center (1),Manhattan,9.653376048,52.67,0,0.6666662222225186,9.68277853533738,11.406753509072688,1.686627595,4.369447852,20.37216969,3.062089593891817,3.80666248977032
614,"59 St-Columbus Circle (1,A,C,B,D)",Manhattan,10.86747629,122.33,1,1.999996000008,10.290618953955788,11.093903881679276,1.594097534,4.369447852,26.07773337,3.2987117432853896,4.343805421853684
316,50 St (1),Manhattan,9.824298457,51.67,0,0.999999000001,10.948417730954375,10.899199260387178,1.464688058,4.94875989,34.50596084,3.569700593371814,4.477336814478207
611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,11.855558,123.67,1,1.999996000008,11.189685297117734,10.4955152116955,1.299708494,5.313205979,33.57188897,3.543040894326748,4.465908118654584
318,"34 St-Penn Station (1,2,3)",Manhattan,10.86571408,127.33,0,1.999996000008,10.849142893040186,10.634965627401035,1.61021559,5.252273428,33.81055054,3.549920517268521,4.430816798843313
319,28 St (1),Manhattan,9.208368121,53.0,0,0.999999000001,10.703581490007773,10.985157120473923,1.672080112,5.209486153,28.86452955,3.3966714735070407,4.406719247264253
320,23 St (1),Manhattan,9.198750635,53.0,0,0.999999000001,10.51058652847062,11.231570003907605,1.759693679,4.919980926,24.44794396,3.236634952306725,4.394449154672439
321,18 St (1),Manhattan,8.67856783,53.0,0,0.999999000001,10.24899031947161,11.295490588123,1.841462063,4.890349128,21.67643052,3.1213260819935966,4.304065093204169
601,"14 St/6 Av (1,2,3,L,F,M)",Manhattan,10.44621934,68.67,2,1.999996000008,10.082595618260582,11.305938195224105,1.830199727,4.779123493,22.21643962,3.144860632041113,4.304065093204169
323,Christopher St-Stonewall (1),Manhattan,9.025616847,52.67,0,0.999999000001,9.7717830615387,11.234110628785556,1.963672768,4.543294782,21.16004833,3.098291042833384,3.4657359027997265
324,Houston St (1),Manhattan,9.250095964,53.33,0,0.999999000001,9.59014573330377,10.80476616428978,1.939390149,4.430816799,20.1562399,3.051934892712139,3.4339872044851463
325,Canal St (1),Manhattan,8.303083773,53.33,0,0.999999000001,9.774232716678863,10.56002261459934,1.772037262,4.644390899,22.99774094,3.1779596984176743,3.713572066704308
326,Franklin St (1),Manhattan,8.461853208,53.0,0,0.999999000001,9.9124472939076,10.726653714419808,1.663964072,4.795790546,24.7784427,3.2495385883939725,3.6375861597263857
327,"Chambers St (1,2,3)",Manhattan,9.540400621,125.33,0,1.999996000008,10.01784249677353,10.822594315669765,1.548378651,4.700480366,25.899258,3.292098702584235,3.784189633918261
328,WTC Cortlandt (1),Manhattan,9.35022458,51.33,0,0.999999000001,10.152376820268753,11.047216600007362,1.459125418,4.700480366,26.80357896,3.325164751978709,3.737669618283368
329,Rector St (1),Manhattan,8.587992664,51.33,0,0.999999000001,10.113099969565988,10.809546113844034,1.512141941,4.727387819,27.83103784,3.361452509614933,3.737669618283368
635,"Whitehall St-South Ferry (1,R,W)",Manhattan,9.938336826,49.0,4,0.6666662222225186,9.848872959262906,10.242242895171907,1.660677518,4.394449155,28.14212218,3.372184625157165,3.737669618283368
416,Wakefield-241 St (2),Bronx,7.941436345,38.0,2,0.6666662222225186,7.5310163320779155,9.98192897884269,1.705850204,0.0,3.156117466,1.4245813370338989,1.6094379124341005
417,"Nereid Av (2,5)",Bronx,7.545604135,41.33,0,0.6666662222225186,8.038512020976814,10.353671054332557,1.809267699,0.693147181,4.497835023,1.704354382563123,2.079441541679836
418,"233 St (2,5)",Bronx,7.866086653,42.0,2,0.6666662222225186,8.09040229659332,10.600776145596624,1.962247908,0.693147181,5.012029807,1.793762429795936,2.079441541679836
419,"225 St (2,5)",Bronx,7.553490903,42.33,2,0.999999000001,7.724004656676065,10.689760711085556,1.782420997,0.693147181,3.660940981,1.5392173550062096,2.4849066497880004
